id,source,target,relation,source_text
E064,E067,L154,AT_LOCATION,遣唐使第一船到泊對馬嶋下縣郡。
E065,G039,L154,TRAVEL,遣唐使第一船到泊對馬嶋下縣郡。
E066,E078,P168,HAS_SUBJECT,最澄師入唐以後。
E067,E089,P168,HAS_SUBJECT,秋八月宣勅令最澄師修入唐所受潅頂秘法。是大法師修圓勤操等七人爲受法弟子。於清瀧峯高雄寺。
E068,E089,L334,AT_LOCATION,秋八月宣勅令最澄師修入唐所受潅頂秘法。是大法師修圓勤操等七人爲受法弟子。於清瀧峯高雄寺。
E069,P168,L334,LEARN,秋八月宣勅令最澄師修入唐所受潅頂秘法。是大法師修圓勤操等七人爲受法弟子。於清瀧峯高雄寺。
E070,E100,G005,HAS_SUBJECT,法師亦在其中。共禀潅頂三摩耶戒。是則本朝潅頂始興之日也。
E071,E100,P168,HAS_OBJECT,法師亦在其中。共禀潅頂三摩耶戒。是則本朝潅頂始興之日也。
E072,E100,L334,AT_LOCATION,法師亦在其中。共禀潅頂三摩耶戒。是則本朝潅頂始興之日也。
E073,G005,P168,LEARN,法師亦在其中。共禀潅頂三摩耶戒。是則本朝潅頂始興之日也。
E074,G005,L334,LEARN,法師亦在其中。共禀潅頂三摩耶戒。是則本朝潅頂始興之日也。
E075,E111,C030,HAS_SUBJECT,大同元年冬十一月於叡山止觀院法師爲上首。與百餘人。受圓頓菩薩大戒。
E076,E111,L077,AT_LOCATION,大同元年冬十一月於叡山止觀院法師爲上首。與百餘人。受圓頓菩薩大戒。
E077,C030,L077,LEARN,大同元年冬十一月於叡山止觀院法師爲上首。與百餘人。受圓頓菩薩大戒。
E078,E123,G022,HAS_SUBJECT,風勢猶猛。漂流十餘日。着隱岐國。
E079,E123,L247,AT_LOCATION,風勢猶猛。漂流十餘日。着隱岐國。
E080,G022,L247,TRAVEL,風勢猶猛。漂流十餘日。着隱岐國。
E081,E134,G022,HAS_SUBJECT,漂流十餘日。着隱岐國。
E082,E134,P301,HAS_OBJECT,漂流十餘日。着隱岐國。
E083,E134,P301,AT_LOCATION,漂流十餘日。着隱岐國。
E084,G022,P301,TRAVEL,漂流十餘日。着隱岐國。
E085,E145,P314,HAS_SUBJECT,遣大唐押使大錦上高向史玄理。大使小錦下河邊臣麻呂。副使大山下藥師惠日。
E086,E145,L193,AT_LOCATION,遣大唐押使大錦上高向史玄理。大使小錦下河邊臣麻呂。副使大山下藥師惠日。
E087,P314,L193,PARTICIPATE,遣大唐押使大錦上高向史玄理。大使小錦下河邊臣麻呂。副使大山下藥師惠日。
E088,E156,P189,HAS_SUBJECT,大使小錦下河邊臣麻呂。
E089,E156,L193,AT_LOCATION,大使小錦下河邊臣麻呂。
E090,P189,L193,PARTICIPATE,大使小錦下河邊臣麻呂。
E091,E167,P254,HAS_SUBJECT,副使大山下藥師惠日。
E092,E167,L193,AT_LOCATION,副使大山下藥師惠日。
E093,P254,L193,PARTICIPATE,副使大山下藥師惠日。
E094,E178,P272,HAS_SUBJECT,分乘二船。留連數月。取新羅道。泊於萊州。遂到于京。奉覲天子。
E095,E178,L291,HAS_OBJECT,分乘二船。留連數月。取新羅道。泊於萊州。遂到于京。奉覲天子。
E096,E178,L290,AT_LOCATION,分乘二船。留連數月。取新羅道。泊於萊州。遂到于京。奉覲天子。
E097,P272,L291,TRAVEL,分乘二船。留連數月。取新羅道。泊於萊州。遂到于京。奉覲天子。
E098,P272,L290,TRAVEL,分乘二船。留連數月。取新羅道。泊於萊州。遂到于京。奉覲天子。
E099,E189,P273,HAS_SUBJECT,遣唐使第二船判官正六位上菅原朝臣清公。來到肥前国松浦郡鹿嶋。
E100,E189,L280,HAS_OBJECT,遣唐使第二船判官正六位上菅原朝臣清公。來到肥前国松浦郡鹿嶋。
E101,E189,L280,AT_LOCATION,遣唐使第二船判官正六位上菅原朝臣清公。來到肥前国松浦郡鹿嶋。
E102,P273,L280,TRAVEL,遣唐使第二船判官正六位上菅原朝臣清公。來到肥前国松浦郡鹿嶋。
E103,E200,P126,HAS_SUBJECT,以左中弁兼中衛中將鑄錢長官從五位上小野朝臣石根。備中守從五位下大神朝臣末足並爲副使。
E104,E200,L193,AT_LOCATION,以左中弁兼中衛中將鑄錢長官從五位上小野朝臣石根。備中守從五位下大神朝臣末足並爲副使。
E105,P126,L193,PARTICIPATE,以左中弁兼中衛中將鑄錢長官從五位上小野朝臣石根。備中守從五位下大神朝臣末足並爲副使。
E106,E211,P103,HAS_SUBJECT,以左中弁兼中衛中將鑄錢長官從五位上小野朝臣石根。備中守從五位下大神朝臣末足並爲副使。
E107,E211,L193,AT_LOCATION,以左中弁兼中衛中將鑄錢長官從五位上小野朝臣石根。備中守從五位下大神朝臣末足並爲副使。
E108,P103,L193,PARTICIPATE,以左中弁兼中衛中將鑄錢長官從五位上小野朝臣石根。備中守從五位下大神朝臣末足並爲副使。
E109,E222,G043,HAS_SUBJECT,遣唐使駕船一隻自安藝國到于難波江口。著灘不浮。其柁亦復不得發出。爲浪所搖。船尾破裂。
E110,E222,L328,AT_LOCATION,遣唐使駕船一隻自安藝國到于難波江口。著灘不浮。其柁亦復不得發出。爲浪所搖。船尾破裂。
E111,G043,L328,TRAVEL,遣唐使駕船一隻自安藝國到于難波江口。著灘不浮。其柁亦復不得發出。爲浪所搖。船尾破裂。
E112,E234,P010,HAS_SUBJECT,授判官正六位上中臣朝臣鷹主從五位下爲使。賜節刀。正六位上高麗朝臣廣山爲副。
E113,E234,L193,AT_LOCATION,授判官正六位上中臣朝臣鷹主從五位下爲使。賜節刀。正六位上高麗朝臣廣山爲副。
E114,P010,L193,PARTICIPATE,授判官正六位上中臣朝臣鷹主從五位下爲使。賜節刀。正六位上高麗朝臣廣山爲副。
E115,E245,C011,HAS_SUBJECT,留唐僧法惠。令住觀音寺。以備通事。
E116,E245,L301,HAS_OBJECT,留唐僧法惠。令住觀音寺。以備通事。
E117,E245,L135,AT_LOCATION,留唐僧法惠。令住觀音寺。以備通事。
E118,C011,L301,TRAVEL,留唐僧法惠。令住觀音寺。以備通事。
E119,C011,L135,TRAVEL,留唐僧法惠。令住觀音寺。以備通事。
E120,E256,P152,HAS_SUBJECT,入唐求法僧慧雲献孔雀一。鸚鵡三。狗三。
E121,E267,P048,HAS_SUBJECT,遣唐天台請益僧圓仁及弟子二人唐人■二人到自大唐。
E122,E267,L193,HAS_OBJECT,遣唐天台請益僧圓仁及弟子二人唐人■二人到自大唐。
E123,E267,L193,AT_LOCATION,遣唐天台請益僧圓仁及弟子二人唐人■二人到自大唐。
E124,P048,L193,TRAVEL,遣唐天台請益僧圓仁及弟子二人唐人■二人到自大唐。
